FactorID,SelectionRate
1,0.095
2,0.04
3,0.535
4,0.04
5,0.01
6,0.095
7,0.115
8,0.04
9,0.01
10,0.03
11,0.015
12,0.01
13,0.0
14,0.015
15,0.015
16,0.35
17,0.115
18,0.09
19,0.15
20,0.03
21,0.765
22,0.01
23,0.03
24,0.09
25,0.04
26,0.015
27,0.03
28,0.01
29,0.04
30,0.04
31,0.005
32,0.01
33,0.01
34,0.03
35,0.065
36,0.005
37,0.005
38,0.005
39,0.005
40,0.005
41,0.005
42,0.115
43,0.005
44,0.07
45,0.435
46,0.005
47,0.575
48,0.48
49,0.045
50,0.01
51,0.03
52,0.35
53,0.015
54,0.535
55,0.03
56,0.15
57,0.04
58,0.03
59,0.005
60,0.015
61,0.03
62,0.0
63,0.07
64,0.005
65,0.03
66,0.045
67,0.095
68,0.015
69,0.05
70,0.095
71,0.01
72,0.03
73,0.0
74,0.35
75,0.215
76,0.03
77,0.03
78,0.015
79,0.215
80,0.025
81,0.025
82,0.01
83,0.03
84,0.51
85,0.015
86,0.005
87,0.015
88,0.01
89,0.01
90,0.095
91,0.12
92,0.005
93,0.03
94,0.03
95,0.07
96,0.005
97,0.245
98,0.01
99,0.665
100,0.01
101,0.01
102,0.115
103,0.095
104,0.095
105,0.015
106,0.095
107,0.015
108,0.01
109,0.105
110,0.15
111,0.01
112,0.0
113,0.01
114,0.03
115,0.03
116,0.01
117,0.275
118,0.01
119,0.005
120,0.0
121,0.095
122,0.005
123,0.005
124,0.01
125,0.03
126,0.015
127,0.01
128,0.015
129,0.04
130,0.005
131,0.115
132,0.005
133,0.04
134,0.03
135,0.005
