TestList,factornames,lambda_ds,tstat_ds,lambda_ds25,tstat_ds25,lambda_202,tstat_202,lambda_glmnet,tstat_glmnet,lambda_pca,tstat_pca
136,Cash holdings,-34.17429124788884,-0.4196647504012732,34.029750098784476,0.40151266122814117,131.3796200802999,0.8944067010776405,-8.470073061923095,-0.09094990257787226,-113.91675120392091,-0.9784415809239774
137,HML Devil ,53.62101714897686,1.0282415818898447,14.64675667520035,0.2821776422847997,55.71230660537663,0.5510352999438383,57.58452465342021,1.0615188181783715,100.28118763426802,1.704072736514905
138,Gross profitability,19.54252076186624,0.47628373154722137,28.03299377343346,0.6597817017770634,87.83070227710054,1.4179623435428805,30.535390544144093,0.6450098276991839,3.0784361614685105,0.07193336168542808
139,Organizational Capital,27.56038545900039,0.9154262162124893,23.353025008261007,0.7498844569460318,6.307631038440345,0.1603658368762299,6.748062412857949,0.22530813809405803,-11.900405149416132,-0.31652126425875327
140,Betting Against Beta ,34.58201496321746,1.4470432184785988,42.55319534240898,1.932166923586739,31.395362103837343,1.0100588185920987,51.74427008415648,2.2012526911721846,40.93141865749118,1.5650454782542056
141,Quality Minus Junk ,72.91873157660132,2.028784598132913,57.945341800415406,1.665281210279396,122.61670855667485,2.4457800615820386,54.347138589258634,1.5750727106094777,201.08486993213333,7.992011493880439
142,Employee growth rate,43.07806603454205,1.3614396756017515,11.969213810924968,0.33580485082793265,54.39304941867138,1.3428647039278863,34.87643373994026,1.0355342859401893,-13.123672054886187,-0.3071277215052956
143,Growth in advertising expense,-12.36451064347918,-1.0919993883614578,5.57336020141915,0.5186588718812195,17.370792213992925,1.2217210396968212,-17.83155244126811,-1.4265195841918707,-20.430024340454235,-2.0685947324547436
144,Book Asset Liquidity,39.56356393220794,1.017562531506184,-23.831707710834927,-0.5896589052600892,36.82270318829133,0.7489868787967519,9.26690715132189,0.21833964769485614,33.480763146710615,0.8688024064177431
145,Robust Minus Weak ,160.32497444651295,4.454137281538191,104.26516455492686,3.1250339731528074,112.31545262146747,1.98483942738771,91.63626751798274,2.3690759707798854,104.67801859734635,3.2054058738529756
146,Conservative Minus Aggressive,37.74584448197161,1.0522230366992753,19.348716824064752,0.568224676960757,32.788927960003754,0.4918234869742453,5.409037796261221,0.13824247906271367,31.04605945567679,0.929060040093184
147,HXZ Investment,50.943814134927976,2.107826504832688,44.2190903485028,1.8910194605548722,-44.54966091241729,-1.4305617448402064,45.50036560800694,1.711283634663044,61.371883245292864,3.0868408190070498
148,HXZ Profitability ,76.5945916441664,3.4727231168995485,71.91312730685796,2.7815741343256977,116.46350467388893,2.286045027723773,109.18761589946722,3.971570834093439,10.765306414195143,0.454863707446157
149,Intermediary Risk Factor,111.82595908839724,2.2080567459574163,37.51876323253294,0.7263574900647525,-16.33915545555011,-0.3277407138436958,-77.20528678464663,-1.5131513755789046,102.60598312497017,1.6699841010249872
150,Convertible debt indicator,-15.242794639740548,-1.4045768372732206,-6.239189339294109,-0.5732235390303936,67.98289100051676,5.197497887450498,4.437541645300399,0.37552408708820934,-3.8461387454969227,-0.403488199258651
